task cope subject region zscore_sc
tens cope1 sub-DMAim1HC004 left_sc_gm_mask 2.881603
tens cope1 sub-DMAim1HC004 right_sc_gm_mask 3.346628
tens cope1 sub-DMAim1HC004 left_sc_mask 2.965267
tens cope1 sub-DMAim1HC004 right_sc_mask 3.120936
tens cope1 sub-DMAim1HC004 C6_left_sc_gm_mask 3.232634
tens cope1 sub-DMAim1HC004 C6_right_sc_gm_mask 3.455329
tens cope1 sub-DMAim1HC004 C7_left_sc_gm_mask 2.885938
tens cope1 sub-DMAim1HC004 C7_right_sc_gm_mask 2.947284
tens cope1 sub-DMAim1HC004 C8_left_sc_gm_mask 2.693126
tens cope1 sub-DMAim1HC004 C8_right_sc_gm_mask 4.156405
tens cope1 sub-DMAim1HC006 left_sc_gm_mask 2.628612
tens cope1 sub-DMAim1HC006 right_sc_gm_mask 2.777285
tens cope1 sub-DMAim1HC006 left_sc_mask 3.008479
tens cope1 sub-DMAim1HC006 right_sc_mask 2.692938
tens cope1 sub-DMAim1HC006 C6_left_sc_gm_mask 2.760129
tens cope1 sub-DMAim1HC006 C6_right_sc_gm_mask 2.433384
tens cope1 sub-DMAim1HC006 C7_left_sc_gm_mask 2.996865
tens cope1 sub-DMAim1HC006 C7_right_sc_gm_mask 2.242377
tens cope1 sub-DMAim1HC006 C8_left_sc_gm_mask 2.609518
tens cope1 sub-DMAim1HC006 C8_right_sc_gm_mask 2.726311
tens cope1 sub-DMAim1HC007 left_sc_gm_mask 3.061532
tens cope1 sub-DMAim1HC007 right_sc_gm_mask 3.549777
tens cope1 sub-DMAim1HC007 left_sc_mask 3.134887
tens cope1 sub-DMAim1HC007 right_sc_mask 3.157015
tens cope1 sub-DMAim1HC007 C6_left_sc_gm_mask 3.145728
tens cope1 sub-DMAim1HC007 C6_right_sc_gm_mask 4.466334
tens cope1 sub-DMAim1HC007 C7_left_sc_gm_mask 3.302451
tens cope1 sub-DMAim1HC007 C7_right_sc_gm_mask 2.937509
tens cope1 sub-DMAim1HC007 C8_left_sc_gm_mask 0.000000
tens cope1 sub-DMAim1HC007 C8_right_sc_gm_mask 2.816115
tens cope1 sub-DMAim1HC015 left_sc_gm_mask 3.062942
tens cope1 sub-DMAim1HC015 right_sc_gm_mask 2.989232
tens cope1 sub-DMAim1HC015 left_sc_mask 2.919092
tens cope1 sub-DMAim1HC015 right_sc_mask 2.912114
tens cope1 sub-DMAim1HC015 C6_left_sc_gm_mask 3.241228
tens cope1 sub-DMAim1HC015 C6_right_sc_gm_mask 2.962144
tens cope1 sub-DMAim1HC015 C7_left_sc_gm_mask 2.725198
tens cope1 sub-DMAim1HC015 C7_right_sc_gm_mask 3.621962
tens cope1 sub-DMAim1HC015 C8_left_sc_gm_mask 2.229553
tens cope1 sub-DMAim1HC015 C8_right_sc_gm_mask 2.455114
tens cope1 sub-DMAim1HC018 left_sc_gm_mask 2.830703
tens cope1 sub-DMAim1HC018 right_sc_gm_mask 2.598610
tens cope1 sub-DMAim1HC018 left_sc_mask 3.057739
tens cope1 sub-DMAim1HC018 right_sc_mask 2.815326
tens cope1 sub-DMAim1HC018 C6_left_sc_gm_mask 2.990165
tens cope1 sub-DMAim1HC018 C6_right_sc_gm_mask 2.688148
tens cope1 sub-DMAim1HC018 C7_left_sc_gm_mask 2.576355
tens cope1 sub-DMAim1HC018 C7_right_sc_gm_mask 2.791956
tens cope1 sub-DMAim1HC018 C8_left_sc_gm_mask 2.716573
tens cope1 sub-DMAim1HC018 C8_right_sc_gm_mask 2.106565
tens cope1 sub-DMAim1HC020 left_sc_gm_mask 2.691904
tens cope1 sub-DMAim1HC020 right_sc_gm_mask 2.542456
tens cope1 sub-DMAim1HC020 left_sc_mask 2.495353
tens cope1 sub-DMAim1HC020 right_sc_mask 2.732936
tens cope1 sub-DMAim1HC020 C6_left_sc_gm_mask 2.672302
tens cope1 sub-DMAim1HC020 C6_right_sc_gm_mask 2.599809
tens cope1 sub-DMAim1HC020 C7_left_sc_gm_mask 2.085711
tens cope1 sub-DMAim1HC020 C7_right_sc_gm_mask 2.440589
tens cope1 sub-DMAim1HC020 C8_left_sc_gm_mask 1.718471
tens cope1 sub-DMAim1HC020 C8_right_sc_gm_mask 2.528338
tens cope1 sub-DMAim1HC030 left_sc_gm_mask 3.345368
tens cope1 sub-DMAim1HC030 right_sc_gm_mask 3.617857
tens cope1 sub-DMAim1HC030 left_sc_mask 3.269618
tens cope1 sub-DMAim1HC030 right_sc_mask 3.339755
tens cope1 sub-DMAim1HC030 C6_left_sc_gm_mask 2.251118
tens cope1 sub-DMAim1HC030 C6_right_sc_gm_mask 3.392169
tens cope1 sub-DMAim1HC030 C7_left_sc_gm_mask 3.590599
tens cope1 sub-DMAim1HC030 C7_right_sc_gm_mask 3.921991
tens cope1 sub-DMAim1HC030 C8_left_sc_gm_mask 2.841645
